identifiant_interne,libelle,nom_court,sigle,type_detablissement,secteur_detablissement,vague_contractuelle,localisation,site_internet,geolocalisation,uai_identifiant,siret,siren,identifiant_wikidata,element_wikidata,identifiant_idref,identifiant_eter,identifiant_ror,element_ror,identifiant_isni,element_isni,date_creation,code_commune,commune,code_unite_urbaine,unite_urbaine,code_departement,departement,code_academie,academie,code_region,region,ancien_code_region,ancienne_region,adresse,code_postal,localite,pays,numero_de_telephone,statut_juridique_court,statut_juridique,compte_facebook,compte_twitter,compte_instagram,compte_linkedin,compte_youtube,scanr,article,champ_recherche,commune_std
VLCX0,CENTRE NATIONAL DES ARTS DU CIRQUE,CNAC,,ECOLE,PRIVE,,Grand est>reims>marne>chalons en champagne,HTTPS://WWW.CNAC.FR/,"48.95119, 4.36256",0511931X,34137252200019.0,341372522.0,Q2945947,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q2945947,030111455,,00AKF2Z72,HTTPS://ROR.ORG/00AKF2Z72,,,,51108.0,CHALONS EN CHAMPAGNE,UU51501,CHALONS EN CHAMPAGNE,D051,MARNE,A19,REIMS,R44,GRAND EST,R21,CHAMPAGNE ARDENNE,1 RUE DU CIRQUE,51000,CHALONS EN CHAMPAGNE,FRANCE,,ASSOCIATION LOI DE 1901,ASSOCIATION LOI DE 1901,,,,,,,AU,CENTRE NATIONAL DES ARTS DU CIRQUE CNAC,51108.0
HGDTQ,GEODATA PARIS,,,ECOLE,PUBLIC,VAGUE E,Ile de france>creteil>seine et marne>paris>champs sur marne,HTTP://WWW.ENSG.EU/,"48.84105, 2.58736",0772496V,18006701900372.0,180067019.0,Q3578152,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q3578152,66951844,FR0465,03R3N3715,HTTPS://ROR.ORG/03R3N3715,0000 0001 2160 8996,HTTP://WWW.ISNI.ORG/0000 0001 2160 8996,1941 01 01,77083.0,CHAMPS SUR MARNE,UU00851,PARIS,D077,SEINE ET MARNE,A24,CRETEIL,R11,ILE DE FRANCE,R11,ILE DE FRANCE,6 ET 8 AVENUE BLAISE PASCAL,77455,MARNE LA VALLEE CEDEX 2,FRANCE,33164153001.0,Sans personnalite juridique secteur public,Sans personnalite juridique secteur public,HTTPS://WWW.FACEBOOK.COM/ENSGEOMATIQUE,HTTPS://TWITTER.COM/ENSG_IGN,,Https://www.linkedin.com/school/ensg geomatique/,Https://www.youtube.com/channel/ucuh1rhtvb38lvbjjxp6if2q,,,Ecole nationale des sciences geographiques geodata paris ensg geomatique national school of geographical sciences,77083.0
4I3C4,Ecole nationale superieure d architecture de paris la villette,ENSAPLV,,ECOLE,PUBLIC,,ILE DE FRANCE>PARIS>PARIS 19E,HTTP://WWW.PARIS LAVILLETTE.ARCHI.FR/,"48.89325, 2.38192",0751875F,19751875600014.0,197518756.0,Q3578185,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q3578185,185977049,FR0182,03E2R1R87,HTTPS://ROR.ORG/03E2R1R87,0000 0001 2322 3651,HTTP://WWW.ISNI.ORG/0000 0001 2322 3651,,75119.0,PARIS 19E,UU00851,PARIS,D075,PARIS,A01,PARIS,R11,ILE DE FRANCE,R11,ILE DE FRANCE,144 RUE DE FLANDRE,75019,PARIS,FRANCE,,Autre etablissement public national d enseignement,Autre etablissement public national d enseignement,Https://www.facebook.com/la salle dexpo ensaplv 246558815401564/,HTTPS://TWITTER.COM/ENSAPLV,,,,,A L,Ecole nationale superieure d architecture de paris la villette ensaplv,75119.0
38WO2,Ecole superieure d art et de design de reims,ESAD REIMS,,ECOLE,PUBLIC,,GRAND EST>REIMS>MARNE>REIMS,HTTP://ESAD REIMS.FR/FR/,"49.252304, 4.029733",0510084P,20002737300014.0,200027373.0,Q3578396,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q3578396,106942387,FR0101,04CH3K260,HTTPS://ROR.ORG/04CH3K260,0000 0004 4689 1582,HTTP://WWW.ISNI.ORG/0000 0004 4689 1582,,51454.0,REIMS,UU51701,REIMS,D051,MARNE,A19,REIMS,R44,GRAND EST,R21,CHAMPAGNE ARDENNE,12 RUE LIBERGIER,51100,REIMS,FRANCE,,EPLC,ETABLISSEMENT PUBLIC LOCAL CULTUREL,HTTPS://WWW.FACEBOOK.COM/ESAD.REIMS.FR,HTTPS://TWITTER.COM/ESADDEREIMS,,,Https://www.youtube.com/user/esadreimscom,,A L,Ecole superieure d art et de design de reims esad reims,51454.0
19EZC,Ecole superieure des sciences commerciales d angers,,ESSCA,ECOLE,PRIVE,,Pays de la loire>nantes>maine et loire>angers,HTTPS://WWW.ESSCA.FR/,"47.47636, 0.60065",0490076S,78611672300010.0,786116723.0,Q3578499,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q3578499,027771970,,04KKYET53,HTTPS://ROR.ORG/04KKYET53,0000 0001 1541 0780,HTTP://WWW.ISNI.ORG/0000 0001 1541 0780,1909 01 01,49007.0,ANGERS,UU49701,ANGERS,D049,MAINE ET LOIRE,A17,NANTES,R52,PAYS DE LA LOIRE,R52,PAYS DE LA LOIRE,1 RUE JOSEPH LAKANAL,49003,ANGERS CEDEX 01,FRANCE,33241734747.0,ASSOCIATION LOI DE 1901,ASSOCIATION LOI DE 1901,Https://www.facebook.com/essca international students 164464980253086/,HTTPS://TWITTER.COM/ESSCA_ECOLE,,Https://www.linkedin.com/in/essca ecole de management 67aa3922,Https://www.youtube.com/user/esscamanagement,Https://scanr.enseignementsup recherche.gouv.fr/entite/786116723,A L,Ecole superieure des sciences commerciales d angers essca,49007.0
BF1TY,HAUTES ETUDES D INGENIEUR,,HEI,ECOLE,PRIVE,VAGUE E,HAUTS DE FRANCE>LILLE>NORD>LILLE,HTTPS://WWW.HEI.FR/,"50.633728, 3.04502",0590348H,78370700300050.0,783707003.0,Q3128626,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q3128626,070527458,FR0120,0185JEY51,HTTPS://ROR.ORG/0185JEY51,0000 0004 0623 2224,HTTP://WWW.ISNI.ORG/0000 0004 0623 2224,1885,59350.0,LILLE,UU59702,LILLE,D059,NORD,A09,LILLE,R32,HAUTS DE FRANCE,R31,NORD PAS DE CALAIS,13 RUE DE TOUL,59014,LILLE CEDEX,FRANCE,33328384858.0,Sans personnalite juridique secteur prive,Sans personnalite juridique secteur prive,Https://www.facebook.com/hautesetudesingenieur,HTTPS://TWITTER.COM/ECOLEHEI,,,HTTPS://WWW.YOUTUBE.COM/USER/ECOLEHEI,,A LA,HAUTES ETUDES D INGENIEUR HEI,59350.0
24VIZ,INSTITUT NATIONAL DU PATRIMOINE,,INP,ECOLE,PUBLIC,,ILE DE FRANCE>PARIS>PARIS 2E,HTTP://WWW.INP.FR/,"48.86661, 2.33907",0754446A,19751234600044.0,197512346.0,Q3152445,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q3152445,086260553,,03C2NXN64,HTTPS://ROR.ORG/03C2NXN64,0000 0001 2248 2918,HTTP://WWW.ISNI.ORG/0000 0001 2248 2918,1990 05 18,75102.0,PARIS 2E,UU00851,PARIS,D075,PARIS,A01,PARIS,R11,ILE DE FRANCE,R11,ILE DE FRANCE,2 RUE VIVIENNE,75002,PARIS,FRANCE,,EPA,Etablissement public national a caractere administratif,Https://www.facebook.com/institutnationaldupatrimoineparis/,HTTPS://TWITTER.COM/INP_PATRIMOINE,Https://www.instagram.com/inp.patrimoine/,Https://www.linkedin.com/school/institut national du patrimoine/,Https://www.youtube.com/user/inpvideotheque/,Https://scanr.enseignementsup recherche.gouv.fr/entite/197512346,A L,Institut national du patrimoine ecole nationale du patrimoine national heritage institute inp,75102.0
2BX2X,"Institut superieur international du parfum, de la cosmetique et de l aromatique alimentaire",ISIPCA,,ECOLE,PRIVE,,Ile de france>versailles>yvelines>paris>versailles,HTTPS://WWW.ISIPCA.FR/,"48.817017, 2.141886",0781110H 0783690M,13001727000302.0,130017270.0,Q3152629,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q3152629,028549783,,055A50447,HTTPS://ROR.ORG/055A50447,,,,78646.0,VERSAILLES,UU00851,PARIS,D078,YVELINES,A25,VERSAILLES,R11,ILE DE FRANCE,R11,ILE DE FRANCE,36 RUE DU PARC DE CLAGNY,78000,VERSAILLES,FRANCE,,Sans personnalite juridique secteur prive,Sans personnalite juridique secteur prive,HTTPS://WWW.FACEBOOK.COM/ISIPCAPARIS/,HTTPS://TWITTER.COM/ISIPCAPARIS,HTTPS://WWW.INSTAGRAM.COM/ISIPCAPARIS/,HTTPS://WWW.LINKEDIN.COM/COMPANY/ISIPCA/,Https://www.youtube.com/channel/uc29mz6pw4ifxxch2p1usskg,,A L,"Institut superieur international du parfum, de la cosmetique et de l aromatique alimentaire isipca",78646.0
1V4LV,Pole superieur d enseignement artistique paris boulogne billancourt,PSPBB,,ECOLE,PUBLIC,,ILE DE FRANCE>PARIS>PARIS 8E,HTTPS://WWW.PSPBB.FR/FR/,"48.878516, 2.320699",0755448P,20003918800012.0,200039188.0,Q30263695,Https://www.wikidata.org/entity/q30263695,,,00DRBXW02,HTTPS://ROR.ORG/00DRBXW02,0000 0004 4910 9090,HTTP://WWW.ISNI.ORG/0000 0004 4910 9090,,75108.0,PARIS 8E,UU00851,PARIS,D075,PARIS,A01,PARIS,R11,ILE DE FRANCE,R11,ILE DE FRANCE,14 RUE DE MADRID,75008,PARIS,FRANCE,,EPLC,ETABLISSEMENT PUBLIC LOCAL CULTUREL,HTTPS://WWW.FACEBOOK.COM/PSPBB.POLE,HTTPS://TWITTER.COM/_PSPBB,,,,,AU,Pole superieur d enseignement artistique paris boulogne billancourt pspbb,75108.0
6B2WE,UNIVERSITE MARIE ET LOUIS PASTEUR,,UMLP,UNIVERSITE,PUBLIC,VAGUE C,Bourgogne franche comte>besancon>doubs>besancon,,"47.240643, 6.02313",0252044L,93810656400017.0,938106564.0,"Q829449,Q131463872",HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q829449,,,04ASDEE31,HTTPS://ROR.ORG/04ASDEE31,,,2024 12 01,25056.0,BESANCON,UU25601,BESANCON,D025,DOUBS,A03,BESANCON,R27,BOURGOGNE FRANCHE COMTE,R43,FRANCHE COMTE,RUE CLAUDE GOUDIMEL,25000,BESANCON,FRANCE,,EPSCP,"Etablissement public a caractere scientifique, culturel et professionnel",,,,,,,A L,UNIVERSITE MARIE ET LOUIS PASTEUR UMLP,25056.0
NKBWH,UNIVERSITE DE LIMOGES,,UNILIM,UNIVERSITE,PUBLIC,VAGUE B,Nouvelle aquitaine>limoges>haute vienne>limoges,HTTPS://WWW.UNILIM.FR/,"45.82604, 1.25853",0870669E,19870669900321.0,198706699.0,Q2661290,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q2661290,026403315,FR0240,02CP04407,HTTPS://ROR.ORG/02CP04407,0000 0001 2165 4861,HTTP://WWW.ISNI.ORG/0000 0001 2165 4861,1971 01 01,87085.0,LIMOGES,UU87601,LIMOGES,D087,HAUTE VIENNE,A22,LIMOGES,R75,NOUVELLE AQUITAINE,R74,LIMOUSIN,33 RUE FRANCOIS MITTERRAND,87032,LIMOGES CEDEX 01,FRANCE,33555149154.0,EPSCP,"Etablissement public a caractere scientifique, culturel et professionnel",HTTPS://WWW.FACEBOOK.COM/UNILIM,HTTPS://TWITTER.COM/UNILIM,HTTPS://WWW.INSTAGRAM.COM/UNIV_LIMOGES/,HTTPS://WWW.LINKEDIN.COM/SCHOOL/UNILIM/,Https://www.youtube.com/user/canalsupwebtv,Https://scanr.enseignementsup recherche.gouv.fr/entite/198706699,A L,Universite de limoges university of limoges unilim,87085.0
MZ286,UNIVERSITE DE PAU ET DES PAYS DE L ADOUR,,UPPA,UNIVERSITE,PUBLIC,VAGUE B,Nouvelle aquitaine>bordeaux>pyrenees atlantiques>pau,HTTPS://WWW.UNIV PAU.FR/,"43.31372, 0.36509",0640251A,19640251500270.0,196402515.0,Q572968,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q572968,026403668,FR0140,01FRN9647,HTTPS://ROR.ORG/01FRN9647,0000 0001 2289 818X,HTTP://WWW.ISNI.ORG/0000 0001 2289 818X,1971 01 01,64445.0,PAU,UU64701,PAU,D064,PYRENEES ATLANTIQUES,A04,BORDEAUX,R75,NOUVELLE AQUITAINE,R72,AQUITAINE,AVENUE DE L’UNIVERSITE,64012,PAU CEDEX,FRANCE,33559407000.0,EPSCP,"Etablissement public a caractere scientifique, culturel et professionnel",Https://www.facebook.com/pages/universit c3 a9 de pau et des pays de ladour uppa/154751851238234?v=wall,HTTPS://TWITTER.COM/UNIVERSITE_UPPA,,,,Https://scanr.enseignementsup recherche.gouv.fr/entite/196402515,A L,Universite de pau universite de pau et des pays de l adour university of pau and pays de l adour uppa,64445.0
JYUCF,ARTS ET METIERS SCIENCES ET TECHNOLOGIES,ARTS ET METIERS,ENSAM,GRAND ETABLISSEMENT,PUBLIC,VAGUE D,ILE DE FRANCE>PARIS>PARIS 13E,HTTPS://ARTSETMETIERS.FR/,"48.83357, 2.35831",0753237L,19753472000010.0,197534720.0,Q2570220,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q2570220,02637515X,FR0185,018PP1107,HTTPS://ROR.ORG/018PP1107,0000 0001 2194 6047,HTTP://WWW.ISNI.ORG/0000 0001 2194 6047,1780,75113.0,PARIS 13E,UU00851,PARIS,D075,PARIS,A01,PARIS,R11,ILE DE FRANCE,R11,ILE DE FRANCE,151 BOULEVARD DE L HOPITAL,75013,PARIS,FRANCE,33144246299.0,EPSCP,"Etablissement public a caractere scientifique, culturel et professionnel",HTTPS://WWW.FACEBOOK.COM/AMPARISTECH,HTTPS://TWITTER.COM/ARTSETMETIERS_,Https://www.instagram.com/artsetmetiers_ensam/,Https://www.linkedin.com/school/arts et m tiers paristech/,Https://www.youtube.com/user/artsetmetierscom,,A,Ecole nationale superieure d arts et metiers arts et metiers sciences et technologies arts et metiers ensam groupe arts et metiers sciences et technologies arts et metiers institut of technology arts et metiers institute of technology,75113.0
I4SPK,Ecole nationale superieure d ingenieurs de caen,ENSI CAEN,ENSICAEN,ECOLE,PUBLIC,VAGUE B,NORMANDIE>CALVADOS>CAEN,HTTP://WWW.ENSICAEN.FR/,"49.21467, 0.36735",0141720U,19141720300012.0,191417203.0,Q3578208,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q3578208,190907991,FR0010,01FPQQE90,HTTPS://ROR.ORG/01FPQQE90,0000 0000 8694 431X,HTTP://WWW.ISNI.ORG/0000 0000 8694 431X,1976,14118.0,CAEN,UU14701,CAEN,D014,CALVADOS,A70,NORMANDIE,R28,NORMANDIE,R25,BASSE NORMANDIE,6 BOULEVARD MARECHAL JUIN,14050,CAEN CEDEX 4,FRANCE,33231452750.0,EPSCP,"Etablissement public a caractere scientifique, culturel et professionnel",HTTPS://WWW.FACEBOOK.COM/ENSICAEN,HTTPS://TWITTER.COM/ENSICAEN,Https://www.instagram.com/ensicaen_ecole.ingenieurs/,Https://www.linkedin.com/school/ensicaen/,Https://www.youtube.com/channel/ucmcgct5ivqk4tss5kewegkq,Https://scanr.enseignementsup recherche.gouv.fr/entite/191417203,A L,Institut des sciences de la matiere et du rayonnement ecole nationale superieure d ingenieurs de caen ismra ensi caen ensicaen,14118.0
S88MV,BORDEAUX INP,,IPB,GRAND ETABLISSEMENT,PUBLIC,VAGUE B,Nouvelle aquitaine>bordeaux>gironde>bordeaux>talence,HTTPS://WWW.IPB.FR/,"44.80572, 0.60506",0333232J,13000635600013.0,130006356.0,Q3152470,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q3152470,175330263,FR0050,054QV7Y42,HTTPS://ROR.ORG/054QV7Y42,0000 0004 1781 203X,HTTP://WWW.ISNI.ORG/0000 0004 1781 203X,2009 04 01,33522.0,TALENCE,UU33701,BORDEAUX,D033,GIRONDE,A04,BORDEAUX,R75,NOUVELLE AQUITAINE,R72,AQUITAINE,AVENUE DES FACULTES,33405,TALENCE,FRANCE,33556846100.0,EPSCP,"Etablissement public a caractere scientifique, culturel et professionnel",HTTPS://WWW.FACEBOOK.COM/GROUPEIPB,HTTPS://TWITTER.COM/BORDEAUXINP,,Https://www.linkedin.com/company/bordeaux inp/,Https://www.youtube.com/channel/uc2vtc_rkldhotyeurxuwwbg,Https://scanr.enseignementsup recherche.gouv.fr/entite/130006356,A,Institut polytechnique de bordeaux bordeaux inp ipb,33522.0
VAJ52,MUSEUM NATIONAL D HISTOIRE NATURELLE,,MNHN,GRAND ETABLISSEMENT,PUBLIC,VAGUE D,ILE DE FRANCE>PARIS>PARIS 5E,HTTP://WWW.MNHN.FR/FR,"48.84202, 2.35616",0753494R,18004417400019.0,180044174.0,Q838691,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q838691,026394944,FR0200,03WKT5X30,HTTPS://ROR.ORG/03WKT5X30,0000 0001 2174 9334,HTTP://WWW.ISNI.ORG/0000 0001 2174 9334,1793,75105.0,PARIS 5E,UU00851,PARIS,D075,PARIS,A01,PARIS,R11,ILE DE FRANCE,R11,ILE DE FRANCE,57 RUE CUVIER,75005,PARIS,FRANCE,33140793000.0,EPSCP,"Etablissement public a caractere scientifique, culturel et professionnel",Https://www.facebook.com/museumnationaldhistoirenaturelle,HTTPS://TWITTER.COM/LE_MUSEUM,,,,Https://scanr.enseignementsup recherche.gouv.fr/entite/180044174,AU,Museum national d histoire naturelle national museum of natural history mnhn,75105.0
LSQ24,UNIVERSITE LE HAVRE NORMANDIE,,UNILEHAVRE,UNIVERSITE,PUBLIC,VAGUE B,NORMANDIE>SEINE MARITIME>LE HAVRE,HTTPS://WWW.UNIV LEHAVRE.FR/,"49.49647, 0.12896",0762762P,19762762300097.0,197627623.0,Q1784954,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q1784954,031308570,FR0220,05V509S40,HTTPS://ROR.ORG/05V509S40,0000 0001 2173 1046,HTTP://WWW.ISNI.ORG/0000 0001 2173 1046,1984 08 29,76351.0,LE HAVRE,UU76701,LE HAVRE,D076,SEINE MARITIME,A70,NORMANDIE,R28,NORMANDIE,R23,HAUTE NORMANDIE,25 RUE PHILIPPE LEBON,76063,LE HAVRE CEDEX,FRANCE,33232744000.0,EPSCP,"Etablissement public a caractere scientifique, culturel et professionnel",HTTPS://WWW.FACEBOOK.COM/UNIV.LEHAVRE,,HTTPS://WWW.INSTAGRAM.COM/UNIV_LEHAVRE/,Https://www.linkedin.com/school/univ lehavre/,Https://www.youtube.com/channel/uch ckxtl0zesipl6i4cu20w,Https://scanr.enseignementsup recherche.gouv.fr/entite/197627623,A L,Universite le havre universite le havre normandie university of le havre unilehavre,76351.0
91D9W,UNIVERSITE DE RENNES,UNIVRENNES,,UNIVERSITE,PUBLIC,VAGUE B,BRETAGNE>RENNES>ILLE ET VILAINE>RENNES,HTTPS://WWW.UNIV RENNES.FR/,"48.114339, 1.636424",0353074B,13003051300019.0,130030513.0,Q1987282,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q1987282,26693823X,,015M7WH34,HTTPS://ROR.ORG/015M7WH34,,,2022 11 28,35238.0,RENNES,UU35701,RENNES,D035,ILLE ET VILAINE,A14,RENNES,R53,BRETAGNE,R53,BRETAGNE,263 AVENUE GENERAL LECLERC,35700,RENNES,FRANCE,33223233535.0,EPSCP,"Etablissement public a caractere scientifique, culturel et professionnel",HTTPS://WWW.FACEBOOK.COM/RENNESUNIV,HTTPS://TWITTER.COM/RENNESUNIV,HTTPS://WWW.INSTAGRAM.COM/UNIVRENNES1/,Https://fr.linkedin.com/school/rennesuniv/,HTTPS://WWW.YOUTUBE.COM/@RENNESUNIV,,A L,Universite de rennes univrennes university of rennes,35238.0
FII41,Ecole superieure d art et design le havre rouen,ESADHAR,,ECOLE,PUBLIC,,NORMANDIE>SEINE MARITIME>ROUEN,HTTP://ESADHAR.FR/,"49.44816, 1.13727",0762687H,20002764700037.0,200027647.0,Q21427194,Https://www.wikidata.org/entity/q21427194,161841821,,04R66GB92,HTTPS://ROR.ORG/04R66GB92,,,,76540.0,ROUEN,UU00755,ROUEN,D076,SEINE MARITIME,A70,NORMANDIE,R28,NORMANDIE,R23,HAUTE NORMANDIE,2 RUE GIUSEPPE VERDI,76000,ROUEN,FRANCE,,EPLC,ETABLISSEMENT PUBLIC LOCAL CULTUREL,,,,,,Https://scanr.enseignementsup recherche.gouv.fr/entite/200027647,A L,Ecole superieure d art et design le havre rouen esadhar,76540.0
CDULA,Ecole superieure de chimie physique electronique de lyon,CPE LYON,,ECOLE,PRIVE,VAGUE A,Auvergne rhone alpes>lyon>rhone>lyon>villeurbanne,HTTP://WWW.CPE.FR/,"45.78415, 4.868928",0693623N,39189510900026.0,391895109.0,Q10178,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q10178,050425900,FR0166,01CBTR271,HTTPS://ROR.ORG/01CBTR271,0000 0000 8866 9008,HTTP://WWW.ISNI.ORG/0000 0000 8866 9008,1994,69266.0,VILLEURBANNE,UU00760,LYON,D069,RHONE,A10,LYON,R84,AUVERGNE RHONE ALPES,R82,RHONE ALPES,43 BOULEVARD DU 11 NOVEMBRE 191,69616,VILLEURBANNE CEDEX,FRANCE,33472431700.0,ASSOCIATION LOI DE 1901,ASSOCIATION LOI DE 1901,HTTPS://WWW.FACEBOOK.COM/CPELYON,HTTPS://TWITTER.COM/CPELYON,HTTPS://WWW.INSTAGRAM.COM/CPE.LYON/,Https://www.linkedin.com/company/cpe lyon/,,Https://scanr.enseignementsup recherche.gouv.fr/entite/391895109,A L,Ecole superieure de chimie physique electronique de lyon cpe lyon ecam lyon,69266.0
GFP1V,EXCELIA GROUP,EXCELIA,,ECOLE,PRIVE,,Nouvelle aquitaine>poitiers>charente maritime>la rochelle,HTTPS://WWW.EXCELIA GROUP.COM/,"46.14069, 1.15616",0171427J,34876850800015.0,348768508.0,Q3578436,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q3578436,,,051GB6S93,HTTPS://ROR.ORG/051GB6S93,0000 0004 0641 0369,HTTP://WWW.ISNI.ORG/0000 0004 0641 0369,1988,17300.0,LA ROCHELLE,UU17601,LA ROCHELLE,D017,CHARENTE MARITIME,A13,POITIERS,R75,NOUVELLE AQUITAINE,R54,POITOU CHARENTES,102 RUE DE COUREILLES,17000,LA ROCHELLE,FRANCE,,ASSOCIATION LOI DE 1901,ASSOCIATION LOI DE 1901,Https://www.facebook.com/exceliagrouplarochelle,HTTPS://TWITTER.COM/EXCELIAGROUPLR,Https://www.instagram.com/exceliagrouplr/,Https://www.linkedin.com/school/excelia group la rochelle/,Https://www.youtube.com/c/exceliagrouplarochelle,,A,EXCELIA GROUP EXCELIA,17300.0
3SQE2,INSTITUT CATHOLIQUE DE RENNES,,ICR,ECOLE,PRIVE,,Bretagne>rennes>ille et vilaine>rennes>bruz,HTTPS://WWW.ICRENNES.ORG/,"48.04855, 1.74461",0352349N,42443712700014.0,424437127.0,Q3151862,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q3151862,136900887,FR0065,05N62PB30,HTTPS://ROR.ORG/05N62PB30,,,1989,35047.0,BRUZ,UU35701,RENNES,D035,ILLE ET VILAINE,A14,RENNES,R53,BRETAGNE,R53,BRETAGNE,RUE BLAISE PASCAL,35170,BRUZ,FRANCE,33299058475.0,ASSOCIATION LOI DE 1901,ASSOCIATION LOI DE 1901,HTTPS://WWW.FACEBOOK.COM/ICRENNES,,,,,,A L,Institut catholique de rennes catholic university of rennes icr,35047.0
MIHLE,"Institut national d enseignement superieur pour l agriculture, l alimentation et l environnement",INSTITUT AGRO,INESAAE,GRAND ETABLISSEMENT,PUBLIC,,ILE DE FRANCE>PARIS>PARIS 16E,HTTPS://WWW.INSTITUT AGRO.FR/,"48.86275, 2.28215",0756246G,13002622200013.0,130026222.0,Q81433122,Https://www.wikidata.org/entity/q81433122,260373249,,01DKYVE95,HTTPS://ROR.ORG/01DKYVE95,,,2019 12 28,75116.0,PARIS 16E,UU00851,PARIS,D075,PARIS,A01,PARIS,R11,ILE DE FRANCE,R11,ILE DE FRANCE,42 RUE SCHEFFER,75016,PARIS,FRANCE,,EPSCP,"Etablissement public a caractere scientifique, culturel et professionnel",,,,Https://www.linkedin.com/company/institut agro/,,Https://scanr.enseignementsup recherche.gouv.fr/entite/130026222,A L,"Institut national d enseignement superieur pour l agriculture, l alimentation et l environnement institut agro institut a inesaae",75116.0
TEXD3,Institut national des sciences appliquees de rouen normandie,INSA DE ROUEN NORMANDIE,INSA ROUEN NORMANDIE,ECOLE,PUBLIC,VAGUE B,Normandie>seine maritime>rouen>saint etienne du rouvray,HTTPS://WWW.INSA ROUEN.FR/,"49.3852, 1.06839",0760165S,19760165100023.0,197601651.0,Q1665112,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q1665112,033364346,FR0217,020WS7586,HTTPS://ROR.ORG/020WS7586,,,1985,76575.0,SAINT ETIENNE DU ROUVRAY,UU00755,ROUEN,D076,SEINE MARITIME,A70,NORMANDIE,R28,NORMANDIE,R23,HAUTE NORMANDIE,685 AVENUE DE L UNIVERSITE,76801,SAINT ETIENNE DU ROUVRAY CEDEX,FRANCE,33232959700.0,EPSCP,"Etablissement public a caractere scientifique, culturel et professionnel",HTTPS://WWW.FACEBOOK.COM/INSADEROUEN,HTTPS://TWITTER.COM/INSAROUEN,,,,Https://scanr.enseignementsup recherche.gouv.fr/entite/197601651,A L,Institut national des sciences appliquees de rouen institut national des sciences appliquees de rouen normandie insa de rouen normandie insa rouen normandie,76575.0
FDIJQ,INSTITUT NATIONAL D HISTOIRE DE L ART,,INHA,GRAND ETABLISSEMENT,PUBLIC,VAGUE D,ILE DE FRANCE>PARIS>PARIS 2E,HTTPS://WWW.INHA.FR/FR/,"48.866499, 2.338842",0755026F,19754688000018.0,197546880.0,Q3152376,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q3152376,074593714,,045CWQJ90,HTTPS://ROR.ORG/045CWQJ90,0000 0001 2285 6289,HTTP://WWW.ISNI.ORG/0000 0001 2285 6289,2001 07 15,75102.0,PARIS 2E,UU00851,PARIS,D075,PARIS,A01,PARIS,R11,ILE DE FRANCE,R11,ILE DE FRANCE,2 RUE VIVIENNE,75002,PARIS,FRANCE,33147038604.0,EPSCP,"Etablissement public a caractere scientifique, culturel et professionnel",Https://www.facebook.com/institutnationaldhistoiredelart,HTTPS://TWITTER.COM/INHA_FR,HTTPS://WWW.INSTAGRAM.COM/INHA_FR/,,Https://www.youtube.com/channel/ucvwteiy6iyijlqhiwlohhkq,Https://scanr.enseignementsup recherche.gouv.fr/entite/197546880,A L,Institut national d histoire de l art inha,75102.0
